exercise_id,exercise_name,group,video_url,review_status
leap_downward_facing_dog,Downward Facing Dog,Yoga & Poses,https://www.youtube.com/watch?v=ahBd-oI76Zs,needs_human_review
leap_oblique_crunch_reach,Oblique Crunch Reach,Core & Abs,https://www.youtube.com/watch?v=Z9WtuN50f9s,needs_human_review
leap_dumbbell_floor_fly_to_close_grip_press,Dumbbell Floor Fly to Close Grip Press,Dumbbell,https://www.youtube.com/watch?v=YcVRQr5xQLk,needs_human_review
leap_twisting_piston,Twisting Piston,Mobility & Stretch,https://www.youtube.com/watch?v=HilAisRJCgo,needs_human_review
leap_mouth_circles,Mouth Circles,Mobility & Stretch,https://www.youtube.com/watch?v=FwiiAJhH3bg,needs_human_review
leap_cheek_firmer,Cheek Firmer,Face & Neck,https://www.youtube.com/watch?v=83Xu_F92j60,needs_human_review
leap_dumbbell_floor_press,Dumbbell Floor Press,Dumbbell,https://www.youtube.com/watch?v=2NbOwF_mJ2g,needs_human_review
leap_bent_over_row,Bent Over Row,Other,https://www.youtube.com/watch?v=t2DUqP_13x8,needs_human_review
leap_havyk_raises,Havyk Raises,Other,https://www.youtube.com/watch?v=HTSdBBXRR6I,needs_human_review
leap_standing_knee_to_chest,Standing Knee to Chest,Core & Abs,https://www.youtube.com/watch?v=uC7dzhqN47M,needs_human_review
leap_knee_circle,Knee Circle,Mobility & Stretch,https://www.youtube.com/watch?v=cYDkPDqeY5E,needs_human_review
leap_wrists_ankles_stretch,Wrists & Ankles Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=oVyhNRtXIio,needs_human_review
leap_double_knees_to_chest,Double Knees to Chest,Core & Abs,https://www.youtube.com/watch?v=R4hV4xrJNqc,needs_human_review
leap_pistol_box_squat,Pistol Box Squat,Squats,https://www.youtube.com/watch?v=N94KPKoK8ls,needs_human_review
leap_straight_leg_bounds,Straight Leg Bounds,Other,https://www.youtube.com/watch?v=EX2aYLIicfI,needs_human_review
leap_x_burpees,X-Burpees,Cardio & Jumps,https://www.youtube.com/watch?v=uD5BUL79CvY,needs_human_review
leap_standing_dumbbell_chest_fly,Standing Dumbbell Chest Fly,Dumbbell,https://www.youtube.com/watch?v=rvpbZiife1I,needs_human_review
leap_triangle_pose,Triangle Pose,Yoga & Poses,https://www.youtube.com/watch?v=qOYy5m3rr1s,needs_human_review
leap_dumbbell_bulgarian_split_squat,Dumbbell Bulgarian Split Squat,Dumbbell,https://www.youtube.com/watch?v=OUnSPY8KLfE,needs_human_review
leap_dumbbell_curtsy_lunges,Dumbbell Curtsy Lunges,Dumbbell,https://www.youtube.com/watch?v=6W3QCGMYLas,needs_human_review
leap_shoulder_stretch_with_chair,Shoulder Stretch with Chair,Equipment,https://www.youtube.com/watch?v=1McKjXfOIJ4,needs_human_review
leap_dumbbell_hip_hinge,Dumbbell Hip Hinge,Dumbbell,https://www.youtube.com/watch?v=yac3o7xnA4s,needs_human_review
leap_levator_scapulae_stretch,Levator Scapulae Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=wnD-FX2lEYs,needs_human_review
leap_open_chain_knee_extension,Open Chain Knee Extension,Mobility & Stretch,https://www.youtube.com/watch?v=rVOKNDLdMVs,needs_human_review
leap_dumbbell_squats,Dumbbell Squats,Dumbbell,https://www.youtube.com/watch?v=qkm3etbZu74,needs_human_review
leap_cross_leg_side_bend,Cross Leg Side Bend,Other,https://www.youtube.com/watch?v=mY0uoK8_8AQ,needs_human_review
leap_dumbbell_fire_hydrant,Dumbbell Fire Hydrant,Dumbbell,https://www.youtube.com/watch?v=kVpYYhzJTqE,needs_human_review
leap_dumbbell_close_grip_bench_press,Dumbbell Close Grip Bench Press,Dumbbell,https://www.youtube.com/watch?v=kQoVg8dUB6Y,needs_human_review
leap_dumbbell_side_lunges,Dumbbell Side Lunges,Dumbbell,https://www.youtube.com/watch?v=gKcUhmLbEIY,needs_human_review
leap_side_neck_stretch,Side Neck Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=e-zXrtIPjMc,needs_human_review
leap_supine_hamstring_stretch,Supine Hamstring Stretch,Mobility & Stretch,https://www.youtube.com/watch?v=aRZeX88VRLc,needs_human_review
leap_quarter_wall_squat,Quarter Wall Squat,Wall,https://www.youtube.com/watch?v=SX5XkYWSmfQ,needs_human_review
leap_single_leg_drops,Single Leg Drops,Core & Abs,https://www.youtube.com/watch?v=Qh5OdDUHzBo,needs_human_review
leap_dumbbell_step_up_onto_chair,Dumbbell Step-Up Onto Chair,Dumbbell,https://www.youtube.com/watch?v=LBE_p-h_XhA,needs_human_review
leap_mountain_climber_squat_thrust,Mountain Climber Squat Thrust,Squats,https://www.youtube.com/watch?v=K0R4snqCbRA,needs_human_review
leap_starfish_crunch,Starfish Crunch,Core & Abs,https://www.youtube.com/watch?v=HBB5tf2vndA,needs_human_review
leap_crab_kick_up,Crab Kick Up,Core & Abs,https://www.youtube.com/watch?v=Emknib0y_J4,needs_human_review
leap_the_roll,The Roll,Other,https://www.youtube.com/watch?v=Be0SH5OCFxo,needs_human_review
leap_dumbbell_jumping_lunge,Dumbbell Jumping Lunge,Dumbbell,https://www.youtube.com/watch?v=B0_E6hzVaDE,needs_human_review
leap_dumbbell_chest_fly,Dumbbell Chest Fly,Dumbbell,https://www.youtube.com/watch?v=7uvFOUA4gsY,needs_human_review
leap_dumbbell_split_squat,Dumbbell Split Squat,Dumbbell,https://www.youtube.com/watch?v=5M1k1Hn_dO8,needs_human_review
leap_bent_knee_side_hip_raises,Bent Knee Side Hip Raises,Glutes & Hips,https://www.youtube.com/watch?v=4tWQ2PrE8pw,needs_human_review
leap_slow_mountain_climber,Slow Mountain Climber,Cardio & Jumps,https://www.youtube.com/watch?v=24gpL7t4iPY,needs_human_review
leap_chair_bicycle_crunch,Chair Bicycle Crunch,Equipment,https://www.youtube.com/watch?v=1xEZ1So_D-A,needs_human_review
leap_double_leg_circles,Double Leg Circles,Mobility & Stretch,https://www.youtube.com/watch?v=0OxxUdSEFqA,needs_human_review
leap_eyes_circles,Eyes Circles,Mobility & Stretch,https://www.youtube.com/watch?v=uLy76pbdh8s,needs_human_review
leap_run_on_the_wall,Run on the Wall,Wall,https://www.youtube.com/watch?v=Vvuj9R-w6a4,needs_human_review
leap_push_up_row,Push-Up Row,Push-ups & Pressing,https://www.youtube.com/watch?v=DpsHmYX3Ifg,needs_human_review
